5000
zonula,bittercress
Spanish_elm,dwarf_oak
piezo_effect,Chu_Kiang
mandible,North_Platte_River
nasal_sinus,American_chestnut
multiprocessing,hedge_maple
requisite,Ficus_religiosa
star-leaf_begonia,hepatica
Salvia_farinacea,Lysiloma_bahamensis
vestibular_system,Musa_acuminata
sarsaparilla_root,Alstroemeria_pelegrina
cereal,Encyclia_tampensis
superior_rectus_muscle,hairy_spurge
toad_lily,avalanche_lily
Symplocus_tinctoria,cassie
pars_distilis,chincapin
forebrain,wild_yellow_lily
essential_oil,Euphorbia_ingens
mock_orange,epididymis
perturbation,field_pea
golden_ironweed,pulsar
beech_fern,common_mallow
serratus_posterior_superior,Arctic_Ocean
canola_oil,Parana
red_sprites,Tocantins_River
Coma_Berenices,Pityrogramma_calomelanos
tung,Onoclea_sensibilis
Shorea_teysmanniana,chance
Sorbus_domestica,Pinus_glabra
Filago_germanica,birch_tree
black_walnut,ependyma
bearberry_willow,Brugmansia_arborea
nipper,coronary_sinus
Golgi_body,somite
Phlox_bifida,bignoniad
Juglans_nigra,Equisetum_robustum
Salvia_lyrata,Euphorbia_hirsuta
orchid_cactus,Spiranthes_spiralis
golden_buttons,watercress
fetlock_joint,starch
thoroughwort,seaside_goldenrod
pyramid_plant,rattlesnake_fern
Passiflora_ligularis,stapes
cultivated_rice,miterwort
kingcup,heal_all
somniloquy,tributary
tallow,groundsel
black_raspberry,katabatic_wind
inspissation,Rheum_palmatum
Oxalis_pes-caprae,garden_lettuce
Heteranthera_dubia,mist
sand_leek,vena_musculophrenica
spinach_mustard,butterfly_pea
poroporo,exothermic_reaction
double_bond,horripilation
pedophilia,spoilage
eusporangium,musculophrenic_artery
Canella_winterana,Iris_verna
Rubus_flagellaris,lineament
nucleolus_organizer,fig_leaf
willow_tree,envelope
cystic_artery,Aegilops_triuncalis
cushion_flower,run
Campanula_trachelium,response
cedar_tree,sperm_oil
crampbark,spoilage
umbel,white_milkweed
tetraspore,Dorotheanthus_bellidiformis
Pinus_strobus,nitrogen_cycle
spiraea,butterweed
cive,tenth_cranial_nerve
Caesalpinia_echinata,hyssop
Russian_cactus,wild_madder
American_raspberry,perennial_pea
holm_tree,sea_wormwood
galvanization,Sargasso_Sea
crystallisation,large-flowered_calamint
goncalo_alves,hyssop_oil
slipperwort,cockle-burr
cat's_foot,Skagerrak
cocoa_butter,sac
abductor,iliac_artery
woody_nightshade,snow-in-summer
musculus_trapezius,osmund
sound_projection,dangleberry
disa,member
lady's_slipper,electric_dipole_moment
acacia,phoenix_tree
Pilea_microphylla,narrow-leaved_spleenwort
vena_cutanea,crete_dittany
gardener's_garters,neurolemma
brainwave,gastric_smear
umbrella_arum,dhawa
great_Solomon's-seal,Thanksgiving_cactus
glutamic_oxaloacetic_transaminase,slit
Artemisia_vulgaris,paraduodenal_smear
Cleome_pinnata,premature_labour
ursinia,Swainsona_grandiflora
Cenchrus_tribuloides,pachouli
Cornus_sanguinea,canal_of_Schlemm
European_hackberry,Quercus_ellipsoidalis
potato_bean,century_plant
oesophagus,Christmas_bush
ice_fog,wasps'_nest
fen_orchid,flame_flower
creeping_wood_sorrel,fool's_huckleberry
vena_profunda_penis,Quercus_bicolor
Templetonia_retusa,green_soy
islets_of_Langerhans,nip
lucerne,short-grass
sinus_coronarius,deccan_hemp
Dioscorea_alata,daisy
Cox's_Orange_Pippin,parallax
Coeur_d'Alene_Lake,goose-tansy
gas_pressure,mid-water
boojum_tree,Leymus_condensatus
haunch,Peter's_gland
economic_consumption,black_cherry_tree
anise_hyssop,Microscopium
Empire,corn_marigold
sorgo,hypoglossal_nerve
trailing_arbutus,indian_cherry
American_lime,Dacrydium_bidwilli
pudendal_vein,gray_goldenrod
cornel,cenogenesis
virtual_image,Weddell_Sea
infrared_ray,Frasera_speciosa
tolu_balsam_tree,Eriophyllum_lanatum
left_ventricle,Helipterum_manglesii
Poyang,plant_process
zizz,Anacyclus_pyrethrum
Pityrogramma_chrysophylla,Santalum_album
Strelitzia_reginae,selection
toothbrush_tree,Fritillaria_meleagris
inferior_planet,Taurus
golden_yarrow,Crocanthemum_canadense
bone_marrow,Magnolia_soulangiana
Vangueria_infausta,Equisetum_hyemale
morello,unlawful_carnal_knowledge
Arum_maculatum,acacia
venae_interlobulares_renis,implantation
fern_seed,acoustic_meatus
orchis,Pearmain
prairie_berry,American_white_pine
avocado_tree,spatterdock
metamorphosis,Paliurus_spina-christi
Petasites_fragrans,commissure
Centaurea_cyanus,achira
Foeniculum_vulgare_dulce,Sitka_spruce
sex_activity,Spanish_cedar
wing_nut,tension
visual_area,candlewood
sandalwood_tree,turmeric_root
hedge_mustard,primary_quill
Lipo-Hepin,Protium_heptaphyllum
checkered_daffodil,Cystopteris_montana
quadriceps_femoris,Pinus_monticola
source,focalisation
Cinnamomum_camphora,chincherinchee
Siberian_spruce,Rio_Bravo
water_locust,temporal_artery
myometrium,arteria_palatina
Sorghum_bicolor,gosan-chiku
glacial_boulder,chaulmoogra_tree
food_pyramid,Solidago_bicolor
pyramid_bugle,histocompatibility
cherry_crab,fava_bean
alternative_energy,Christmas_bells
Guaiacum_officinale,antimuon
deep_middle_cerebral_vein,bastard_lignum_vitae
lemonwood,avocado_tree
great_knapweed,Kasai
Prunus_americana,winter_melon_vine
cat's-ear,Gerbera_jamesonii
incisor,sweet_violet
strip,Oxytropis_lambertii
tendon_of_Achilles,Vinca_rosea
Angiopteris_evecta,Job's_tears
Fritillaria_micrantha,Juglans_cinerea
redstem_storksbill,pairing
Rubus_canadensis,Brassica_nigra
true_cedar,oscillation
coronary_artery,cockle-burr
honeypot,haw
Ceterach_officinarum,prairie_rocket
Jatropha_stimulosus,Oregon_holly_grape
tracheid,transcriptase
high-density_lipoprotein,red_helleborine
elastance,wool_fat
Pyrola_uniflora,Harding_grass
angostura,chain_lightning
pumpkin_ash,kaffir_bread
pond_lily,Afro
ginglymus,dyer's_mignonette
Lake_Erie,Kissimmee
sweet-scented_geranium,ruddles
crete_dittany,Bramley's_Seedling
babassu_oil,crystal
tanbark_oak,scarlet_pimpernel
Euphorbia_pulcherrima,arteria_pancreatica
forefoot,downy_haw
bitter_orange,satinwood_tree
Lilium_canadense,relative
silver_fir,Joshua_tree
babassu_nut,disassortative_mating
neural_arch,nucleolus_organiser
lateral_geniculate,concretion
balsam_apple,intercostal_artery
gametophore,pit
plum-yew,corn
rudiment,weaver's_broom
cranial_orbit,planetesimal
vena_vesicalis,horse_nettle
musculus_pectoralis_major,synergy
vena_portae,elephant_ear
stolon,Egyptian_water_lily
solar_flare,winter_melon_vine
Erythronium_dens-canis,displacement_reaction
brickbat,vena_profunda_penis
horseshoe_vetch,air_pressure
apothecium,fire
black_mangrove,padouk
Brodiaea_elegans,Siberian_crab_apple
Amorphophallus_campanulatus,Triton
narrow-leaved_spleenwort,minnie_bush
tall_oat_grass,arterial_pressure
Trichomanes_speciosum,demand
tangelo_tree,common_staghorn_fern
Zamia_pumila,Panicum_Texanum
spermatophyte,grey_willow
Japanese_iris,coenzyme_Q
coralroot,Canterbury_bell
herb_mercury,Hottentot_bread
Alpinia_speciosa,gall_of_the_earth
bize,Ranunculus_glaberrimus
Dioscorea_batata,hexose
bamboo_fern,infraorbital_artery
arteriola,corn_spurrey
Artemisia_dracunculus,prairie_trefoil
global_climate_change,silky_dogwood
cellular_respiration,Cardamine_pratensis
Petroselinum_crispum_tuberosum,Northern_dewberry
browallia,papillary_muscle
singultus,shtup
Gossypium_herbaceum,bahia_coquilla
Iris_xiphioides,Veronica_peregrina
Mexican_hat,Cocculus_carolinus
Quaoar,bok_choy
Parana,azido_group
aorta,corymb
bastard_pimpernel,Trifolium_alpinum
athlete's_foot,Chinese_hibiscus
showy_lady_slipper,dandruff
winter_cress,hubbard_squash
bergenia,internal_iliac_artery
farrow,grand_fir
ascending_artery,Brazilian_pepper_tree
pin,grey_alder
strawberry_pigweed,brodiaea
reducing,Languas_speciosa
ileum,highbush_cranberry
hardinggrass,green_ash
psilophyton,internal_jugular_vein
Hudsonia_ericoides,heterogenesis
Tanacetum_parthenium,apparatus_urogenitalis
broad_leaved_centaury,photochemical_reaction
urinary_calculus,wave
maidenhead,matilija_poppy
snooze,Bradley_method_of_childbirth
rape,suksdorfia
permeation,Genista_tinctoria
Epidendrum_tampense,shape
destructive_metabolism,fine_spray
wool_grease,Iguassu
cloven_foot,magnetization
creeper,Glycine_max
electric_doublet,Heuchera_sanguinea
squill,turmeric
American_laurel,epigastrium
CNS,reabsorption
vegetation,short-grass
Mozambique_Channel,Cinchona_ledgeriana
choroidal_artery,Pilularia_globulifera
Sapindus_saponaria,European_black_currant
Astronium_fraxinifolium,North_Platte
slipper_spurge,sound_barrier
gluon,sweetbrier
Salmon,interoceptor
Ozark_chinkapin,wild_geranium
bishop's_pine,Prunus_virginiana
Erigonum_fasciculatum,cruciferous_plant
snogging,vena_sigmoideus
larynx,dispersed_phase
chlamydospore,pear_haw
aftereffect,Passiflora_foetida
Ramsons,bower_actinidia
postcentral_gyrus,winter_squash
Listera_ovata,superior_vena_cava
symphysis,yellow_bristlegrass
Sambucus_caerulea,kapuka
dwarf_willow,cranberry_tree
language_area,Populus_trichocarpa
peppermint_gum,headful
Cox,haematogenesis
Amsonia_tabernaemontana,butterfly_flower
Salix_alba_sericea,nucleoprotein
areca_nut,witch_hazel
Micromeria_juliana,great-leaved_macrophylla
elytron,chocolate_tree
osier,Amaranthus_spinosus
elution,submarine_earthquake
flat-leaf_parsley,superior_vena_cava
weaver's_broom,narrow_beech_fern
San_Joaquin_River,Malaxis_ophioglossoides
waterweed,blue_cohosh
handle-bars,Purkinje's_system
prophyll,mountain_pride
symphysis,mangold-wurzel
root_cap,meadow_grass
Ursa_Major,Lobelia_inflata
Pereskia_aculeata,right_ventricle
Xylosma_congestum,sweet_false_chamomile
red_buckeye,chive
Canadian,bush
air_pressure,Stizolobium_deeringiana
tarn,metencephalon
cirrocumulus,Pisonia_aculeata
eyrie,lily_of_the_valley
centrum,palm
Rubus_flagellaris,apophysis
downy_birch,strong_force
jagghery,African_walnut
sacred_lotus,plasma
trigeminal,jejunum
Mexican_poppy,Momordica_balsamina
Aspalathus_cedcarbergensis,cowpen_daisy
belching,Ardisia_paniculata
Comptonia_peregrina,mesophytic_plant
vegetable_sheep,asparagus
Sauvignon_grape,serendipity
human_knee,crotaphion
clypeus,Egyptian_water_lily
common_comfrey,Plough
salsify,external_oblique_muscle
tree_clubmoss,chorioallantois
Bambusa_vulgaris,Acer_platanoides
hood,swamp_sunflower
nitrogenase,acicula
Chiococca_alba,wood_pulp
arteria_celiaca,Coriolis_force
Dahlia_pinnata,gastrocnemius
nagami_kumquat,hairy_lip_fern
silvertop_palmetto,incisor
eyebrow,oxidative_phosphorylation
extraction,haemopoiesis
rectification,Salsola_kali_tenuifolia
lantern_jaw,algarroba_bean
long_wave,Rhamnus_carolinianus
jujube,Cabomba_caroliniana
occipital_vein,laryngopharynx
Poncirus_trifoliata,runaway_robin
Grimes'_golden,roach
stirrup,pallidum
Medicago_falcata,coattails_effect
vena_vestibularis,proud_flesh
Chrysanthemum_ptarmiciflorum,wild_winterpea
sugar_corn,Japanese_banana
Nemophila_aurita,Lake_Okeechobee
pepper_shrub,mountain_box
chardonnay_grape,rhubarb_plant
Leonotis_nepetifolia,Riss_glaciation
zygospore,windage
hyaline_cartilage,Aristolochia_clematitis
Eupatorium_cannabinum,buckthorn_berry
Stylophorum_diphyllum,mildew
leaf_lettuce,canyon_live_oak
vena_clitoridis,English_ryegrass
Sedna,streamer
potential_drop,stinking_iris
Hypericum_maculatum,stream
photosynthesis,Saale_River
Salix_humilis,ophryon
St._John_River,tumour_necrosis_factor
Picea_mariana,Swainsona_grandiflora
Athyrium_thelypteroides,European_cranberry_bush
European_beech,bondage
tor,sweetpea
winter_hazel,self-stimulation
Ajuga_chamaepitys,Jerusalem_sage
bud,muscular_structure
archegonium,langsat
Calvary_clover,bakeapple
angiotensin_converting_enzyme,Virginian_witch_hazel
alpha-lipoprotein,auditory_area
wasp_waist,yellow_asphodel
orogeny,Albizia_lebbeck
whiskers,amorphophallus
Io,gluteus_medius
curly_grass_fern,cocoa_palm
sternocleidomastoid,lovage
Podocarpus_coriaceus,American_spikenard
two-grain_spelt,Plagianthus_betulinus
segmentation,maize
corpuscular_radiation,epigenesis
pistia,chiasma
daffodil_garlic,elkhorn_fern
Dryopteris_thelypteris,garland_flower
pavonia,Yenisei_River
Lake_Geneva,exponential_return
sunrose,wild_sage
ebony,white_wax_tree
vena_cerebrum_internus,callus
sensitization,Madagascar_plum
Cassiopeia,quellung
shall-flower,guama
Pelargonium_hortorum,attar
Areca_catechu,mountain_maple
necklace_tree,amperage
corpus_amygdaloideum,broad-leaved_everlasting_pea
Habenaria_unalascensis,semi-climber
rhizome,Penobscot_River
Pennisetum_ruppelii,mustang_mint
barrenwort,cornu
hoop_ash,polymorphism
foxtail_millet,trumpet_honeysuckle
draught,variegated_scouring_rush
nervus_saphenus,sweet_buckeye
Echinochloa_crusgalli,vital_organ
fresh_breeze,agrimony
whirlwind,seta
cloud_bank,lignum
Litchi_chinensis,Rubus_occidentalis
southern_red_oak,barley_grass
Titan,white_willow
Fritillaria_recurva,Cananga_odorata
sundial_lupine,Psilotum_nudum
ethmoid_sinus,partition
bay_myrtle,circulation
Persea_borbonia,sword_fern
Japanese_brome,garambulla
os_capitatum,chitin
Cicer_arietinum,Artemisia_annua
Penobscot_River,guava
death_camas,cocklebur
Polygala_paucifolia,Madagascar_periwinkle
twinberry,Adiantum_pedatum
Helichrysum_secundiflorum,auricular_appendix
gulping,Canada_balsam
Lonicera_hirsuta,bough
sapodilla_tree,Acheron
Scorzonera_hispanica,rose_acacia
transverse_sinus,coumara_nut
walking_leaf,kaffir_bread
heterocercal_fin,Erigeron_philadelphicus
palm_kernel,Lysimachia_terrestris
curtain,bimli
Judas_tree,Oregon_fir
Remicade,prairie_anemone
cerumen,papaw_tree
dwarf_elm,Saint_Ulmo's_light
lookup,sciatic_nerve
haemal_arch,Ohio
hazel_alder,white_basswood
jaboticaba_tree,innominate_vein
basilic_vein,Cerastium_alpinum
Halimodendron_halodendron,temperature_reduction
Monongahela,Japanese_barberry
brodiaea,Eschscholtzia_californica
decentralization,defence_reaction
uropygium,idealisation
willow_aster,cuticle
goatsbeard,frijole
conduction,Volga
Encyclia_citrina,Pteris_serrulata
mignonette,Zigadenus_venenosus_gramineus
French_rye,Chinese_magnolia
Sitka_willow,oriental_bush_cherry
Cassia_auriculata,mad_apple
rete,shore_boulder
Johnson_grass,withers
Besseya_alpina,cassava_starch
testis,otic_ganglion
London_plane,spice_tree
crotch,Thuja_occidentalis
hog_millet,hemp_agrimony
metamere,thoracic_aorta
rabbitweed,lard
Cucumis_sativus,ignition
autumn_sneezeweed,vestibule
quadrupling,black_pepper
Catha_edulis,simal
low,peanut
Pyracantha,Calochortus_amabilis
musculus_sphincter_vesicae,mist-flower
natural_selection,Albizia_lebbeck
chimney_plant,invagination
chop,wall_rue_spleenwort
hunk,birthing
crown-beard,undescended_testicle
globe_flower,Hydrangea_anomala
nasopharynx,ravenala
bod,Polygala_senega
splint_bone,Laportea_canadensis
titi_family,vena_iliolumbalis
Leo,moth_orchid
blinks,chymosin
Irish_Sea,celery-leaved_buttercup
vulcanisation,Linaria_canadensis
okra,bent
laryngeal_artery,Monongahela
sassafras,bacca
Spanish_gorse,shock
European_black_currant,Juneberry
lymphatic_tissue,scaly_fern
Corona_Borealis,nimblewill
vena_arcuata_renis,broad_beech_fern
gamma_ray,Euphorbia_cyathophora
Dragon,Rhein
Jacquinia_armillaris,Lasthenia_chrysostoma
vinegar_tree,Pacific_plum
vetchling,Sarcochilus_falcatus
sexual_inversion,brain
magnolia,pelt
golden_glow,tumor_necrosis_factor
Adige,schnittlaugh
Big_Dipper,amnios
Salix_fragilis,dhak
halo,shining_clubmoss
saprophytic_organism,Yucca_baccata
cheeseflower,beefsteak_geranium
deerberry,bandy_leg
Betula_populifolia,endocranium
gassing,Zizania_aquatica
clastic_rock,Prumnopitys_taxifolia
common_ageratum,sniveling
Erythronium_americanum,scented_penstemon
crimson_clover,fragrant_sumac
accommodation_reflex,Iris_xiphium
cassia_bark,totality
saphenous_nerve,Bougainvillea_glabra
line_storm,oca
Chinese_magnolia,vena_pylorica
Saxifraga_hypnoides,Linnaea_borealis_americana
bog_laurel,Poa_pratensis
underpart,black_walnut
Pericallis_cruenta,Ulmus_pumila
Satureja_calamintha_glandulosa,Guantanamo_Bay
Cucurbita_foetidissima,permanent_wave
autolysis,Windward_Passage
Brugmansia_sanguinea,mesophyte
chip,sprites
macula,Solidago_multiradiata
cleavage,Seriphidium_canum
saddle_feather,tall_oat_grass
broad_bean,Mirabilis_multiflora
saturation,translocation
Celosia_cristata,kidney_begonia
back_tooth,pellicle
farkleberry,pyrochemistry
red_marrow,fornix
Missouri_River,blue_marguerite
cell_organ,Paulo_Afonso_Falls
calyx_tube,Physalis_pruinosa
Dimocarpus_longan,christella
pinocytosis,false_goatsbeard
underlip,aculeus
Russian_thistle,apple_mint
glute,pollen
munjeet,Kalmia_latifolia
false_dragon_head,Stenocarpus_salignus
Phyllostachys_nigra,greenweed
silverberry,intumescency
oleo_oil,de-Nazification
Halimodendron_argenteum,Castilleja_chromosa
stinking_iris,Carolina_hemlock
Copernicia_cerifera,external_nasal_vein
butch,sea_pink
hysteresis,wing_elm
asparagus_fern,Swainsona_grandiflora
Swertia_perennia,felt_fern
blue_star,Indian_pea
artificial_insemination,seashell
fission,pile
phacelia,addition_reaction
Matricaria_matricarioides,arousal
Ficus_diversifolia,imou_pine
Scotch_broom,wax_plant
brazil,Pee_Dee
dog's-tooth_violet,Venus's_slipper
evening_star,allyl_group
Japanese_persimmon,Solanum_dulcamara
farkleberry,oxeye_daisy
digestive_tract,hawkweed
reversible_process,sand_cherry
arteria_metatarsea,gray_willow
interstice,Jamestown_weed
nutmeg-yew,yellow_jessamine
latissimus_dorsi,Salvia_spathacea
scrotum,Australian_heath
Potomac,cascade_penstemon
kurrajong,musculus_abductor_digiti_minimi_pedis
nervus,electrolysis
dittany_of_crete,grass_pea
California_yew,dust_devil
psi_particle,fen_orchid
lentil,Earth
Aral_Sea,fuck
creeping_St_John's_wort,Aquila
Ursa_Major,good_weather
natural_childbirth,elbow_bone
Eucalyptus_viminalis,American_maidenhair_fern
heat_of_dissociation,Juglans_nigra
telocentric_chromosome,shadblow
pixy,golden_rain
rot,haemal_arch
vena_cephalica,Lolium_temulentum
Schinus_terebinthifolius,Canna_indica
ten-day_fern,epigenesis
Quercus_wizlizenii,Babinski_sign
Anthemis_nobilis,natural_process
Pisum_sativum_macrocarpon,dealignment
polyploid,vena_basivertebralis
thorax,gynobase
branchial_cleft,kangaroo_apple
microglia,kapuka
net_melon,pedwood
cowpea_plant,antrum
negro_peach,Chinese_date
musk_mallow,field_speedwell
paw,Cypripedium_fasciculatum
position_effect,red_cabbage
Boott's_goldenrod,interrupted_fern
adiabatic_process,biochemical_mechanism
devil_grass,unit
Hyacinthus_candicans,apparatus_urogenitalis
fuel_oil,Japanese_varnish_tree
bartonia,zymosis
hock-joint,boulder
Carpenteria_californica,cockscomb
clementine,dried_apricot
Dimocarpus_longan,barrier
paraumbilical_vein,seaside_alder
south_wind,evening_lychnis
Baikal,speech_organ
glans,Bermuda_grass
Penstemon_serrulatus,Chrysanthemum_lacustre
hawkweed,wild_red_oat
tricuspid_valve,molar
cottonweed,assortative_mating
Dactyloctenium_aegypticum,patchouly
gluteus_minimus,epistasis
orange_daisy,palmyra
Oregon_white_oak,Mespilus_germanica
Tugela_Falls,golden_crownbeard
morning_glory,extensor_muscle
capeweed,Carya_ovata
Virginia_serpentaria,Pipturus_argenteus
phase_change,ileal_artery
Japanese_lilac,bight
passive_transport,astroglia
balsa,annulus
fovea_centralis,spinal_nerve
Flindersia_australis,Ximenesia_encelioides
Gleditsia_triacanthos,American_bittersweet
Iris_kaempferi,supinator
superior_colliculus,Quercus_garryana
candle_flame,moment_of_a_magnet
Myroxylon_toluiferum,Hercules-club
caput,true_senna
vena_phrenica,blazing_star
tegument,cell_death
bird's_foot,Pulsatilla_vulgaris
prairie_white-fringed_orchid,forsythia
wood_garlic,dourah
concretion,prince's-plume
kidney_bean,actin
mesophyron,sternocleidomastoid
harvest,Rhododendron_californicum
chicot,shark-liver_oil
Cape_tulip,horse_thistle
Oregon_grape,tibialis
caudal_appendage,queen_of_the_night
impact,bear's_ear
intussusception,Vaccinium_corymbosum
Commiphora_meccanensis,concurrent_execution
Pinus_californiarum,flat-leaf_parsley
gravitation,Coreopsis_gigantea
control_function,Prosopis_glandulosa
hornets'_nest,Chrysolepis_sempervirens
Picea_sitchensis,bee_balm
denazification,River_Styx
vine,othonna
tool,Cucurbita_foetidissima
martynia,retarding_force
Oregon_white_oak,Georgia_pine
wind_power,oxidation
Melilotus_alba,Apium_graveolens
cembra_nut_tree,translocation
day_jessamine,floweret
Agrimonia_eupatoria,common_ivy
tempest,floodhead
bize,malt_sugar
golden_crownbeard,Polypodium_polypodioides
mung,Afro
holometabolism,windmill_grass
craw,Triplochiton_scleroxcylon
pearl_sago,signal
crabgrass,Satureja_vulgaris
Agropyron_smithii,lobe
field_brome,musculus_sartorius
Erythrina_lysistemon,lucerne
eusporangium,Calamintha_nepeta
leaf_node,conduction
Octans,rectal_vein
Saint_Elmo's_fire,epicalyx
syncarp,guard_hair
swimming_hole,Podocarpus_dacrydioides
chemical_process,tube-shaped_structure
pharynx,ram's_horn
pepper_grass,consecutive_operation
Loire,Paris_daisy
storminess,September_elm
brain_stem,cirrocumulus
Cucumis_melo_inodorus,accessory_fruit
huamachil,albumen
water_star_grass,internal_respiration
Eastern_pasque_flower,phallus
yellow_cedar,Habenaria_psycodes
California_poppy,meadow_buttercup
variation,Arnica_montana
drupelet,Virginia_waterleaf
muscular_tissue,Pyracantha
silver_grass,spike_lavender_oil
man-made_lake,spontaneous_generation
Cynoglossum_virginaticum,eye
Hampton_Roads,melioration
monilia_disease,Ilex_paraguariensis
Rheum_rhabarbarum,vascular_system
Ozothamnus_secundiflorus,circumflex_artery
corn_lily,creeping_fern
cotyledon,Indian_chocolate
gustatory_organ,wild_cinnamon
frost,electric_current
grass_fern,bacteriostasis
kingfisher_daisy,Indigofera_tinctoria
tar-wood,celestial_body
disinflation,Fumaria_claviculata
endoblast,Teucrium_chamaedrys
Agropyron_smithii,colza_oil
caudate_nucleus,demand-pull_inflation
Lambertia_formosa,snowdrift
macular_area,babassu_palm
Portuguese_cypress,true_jasmine
hatching,American_olive
dyer's-broom,Empire
vena_gastroomentalis,Styphelia_triflora
necking,laying
neem,fire
blue_flag,plica
efferent_nerve,Arisarum_vulgare
Euphorbia_milii,licorice_root
arteria_labialis,wood_mint
hock,red-berry
boiling,water_milfoil
Erica_cinerea,monkey_pod
wild_strawberry,heath
Bahama_grass,wheel_tree
Salix_alba_sericea,hardinggrass
corm,photosynthesis
Purus_River,Uranus
sticker,Philippine_cedar
beam_of_light,Hyoscyamus_niger
Iris_kaempferi,atrioventricular_valve
possumwood,scolopendrium
calico_bush,whitebark_pine
pistillode,hand_fern
Skagerrak,she-oak
Arabidopsis_lyrata,underbody
capitate_bone,marumi
necessary,coastal_rein_orchid
Niagara_Falls,inula
auricular_artery,button_snakeroot
Petroselinum_crispum_neapolitanum,Nymphaea_odorata
partition,climbing_fern
ptyalin,alligator_weed
Chamaecyparis_lawsoniana,Aster_ericoides
cornea,Viola_reichenbachiana
Anemone_riparia,Brassica_oleracea
digestive_system,Mediterranean_hackberry
tidewater_stream,coral_drops
Habenaria_lacera,Vesper
pincer,blue_devil
Ceratopetalum_gummiferum,gastrocnemius_muscle
sorrel,jumby_tree
vesicle,great_maple
Dippel's_oil,plantain
European_red_elder,rose_moss
Cepheus,cardiovascular_system
tower_mustard,wild_crab
pes_planus,Schreiber's_aster
glutamic_oxaloacetic_transaminase,lying-in
red-veined_pie_plant,grease
stratification,twice-pinnate
amber_lily,bay_grass
black_walnut,Pellaea_atropurpurea
influx,black_pea
wall_pellitory,Salpichroa_organifolia
invagination,anterior_naris
external_respiration,vinyl_group
somatic_chromosome,Zinnia_grandiflora
Brassica_oleracea_acephala,runaway_robin
creeping_soft_grass,southern_spatterdock
miltomate,cyclooxygenase
freeze-drying,Pinus_banksiana
haematohiston,chaparral_mallow
usance,elm
loquat_tree,Spartina_cynosuroides
spring_vetchling,Hooker's_onion
creeping_bellflower,seeded_raisin
cranberry_bush,silky_wisteria
Schizophragma_hydrangeoides,rose_mallow
Irvingia_gabonensis,Monarda_clinopodia
corn_poppy,Apalachicola_rosemary
Pereskia_aculeata,neurohypophysis
bowlder,Hexalectris_spicata
Housatonic_River,Brassica_hirta
rose-apple_tree,Artemisia_abrotanum
interphalangeal_joint,willow_oak
common_winterberry_holly,billy_buttons
Athyrium_filix-femina,groundsel_tree
pterygoid_muscle,Heritiera_macrophylla
Quercus_texana,right_atrioventricular_valve
Inula_helenium,Victoria
mariposa_tulip,temporal_bone
Amianthum_muscaetoxicum,grains_of_paradise
clear-air_turbulence,external_iliac_artery
light_air,filago
cauliflower_ear,red_mulberry
tall_bilberry,serratus_anterior
gymnospermous_tree,tarwood
cosmic_microwave_background_radiation,sycamore
coelenteron,Chari
Clitoria_turnatea,vena_cutanea
meatus,urogenital_cleft
incubation,summation
planetary_nebula,air_potato
cortical_potential,dayflower
Lake_Huron,periosteum
night-blooming_cereus,ribwort
rhomboid,black_bamboo
doubling,Savannah
chittimwood,psychosexual_development
Sanicula_Europaea,milo_maize
decentralization,feminization
kidney_vetch,resolving_power
four_o'clock,anus
pissing,nutlet
