5000
order_Apterygiformes,flacourtia_family
loose_cannon,Henri_van_de_Velde
standard_temperature,Picea_breweriana
Oryctolagus,Republic_of_Latvia
tea_napkin,cubby
turn_of_expression,Borodin
vasovasostomy,appendicularia
serjeant-at-law,Nat_Turner
steering_linkage,candy_cane
plexus_choroideus,anterior_meningeal_artery
hair_dye,ammunition_chest
importance,ventral_horn
Spirillum_minus,genus_Neohygrophorus
hypotenuse,kiddie_porn
Ted_Hughes,Artemisia_stelleriana
free-liver,water_parting
Peter_Minuit,logic_bomb
Peter_Cooper,kerfuffle
adjustable_spanner,family_Zapodidae
ruth,shoofly_pie
porterage,Iris_verna
Shavian,pricing_system
defloration,palometa
aztreonam,lease-lend
rushlight,crape_fern
smallmouth,initialism
writing_implement,Malope_trifida
bargaining,bitter_pecan
pitprop,molality
Lake_Clark_National_Park,sorrowfulness
Mentha_citrata,philosopher
Australopithecus_robustus,quinnat_salmon
stone_fly,water_hickory
Abudefduf_saxatilis,abrachia
Taracahitian,bluffer
vinifera_grape,poor_man's_pulse
turnoff,quintet
empty,genus_Euonymus
Louisianan,respiratory_syncytial_virus
desert_mariposa_tulip,Konakri
sailing_ship,tyrothricin
gazpacho,kylie
hypnotism,Cotinus_coggygria
Bryonia_alba,deep_middle_cerebral_vein
bank_card,Titus
monkey_wrench,giant_clam
Kennedy,mother_figure
elegance,Mount_Ararat
Dipsosaurus_dorsalis,raffia
talker,bill_of_exchange
special_verdict,caper_family
chicane,coup_de_grace
pregnant_chad,Tribonema
backdoor,conacaste
Mikmaq,genus_Tacca
juice_reamer,transshipment
capital_of_San_Marino,Dysdercus
showstopper,peace_pipe
genus_Phoxinus,puccoon
polypropylene,indumentum
humankind,Carcharhinus_leucas
tracer_bullet,Megalosauridae
jumping_jack,cadaver
degressive_tax,Erysimum_allionii
Benny,down
hara-kiri,baffle_board
tilling,wet_fly
Michelangelo_Buonarroti,priestess
festination,FHA
Melkite,blue_walleye
thermochemistry,farmyard
angel_shark,Eritrea
MRTA,willow_bell
set,genus_Choriotis
sabbatia,Ictodosauria
trembler,Horne
Baroque,Texas_snowbell
bottlebrush_buckeye,blockhead
Gastroboletus_turbinatus,Joan_Sutherland
yellow_spruce,Gelsemium
pilot_bit,Francis_II
magpie,lead_colic
icterus_neonatorum,sweet
family_Amaryllidaceae,Mogen_David
subacute_inclusion_body_encephalitis,Dalmatia
sanitation,genus_Gymnocarpium
genus_Parthenocissus,citronwood
megalithic_structure,corn_snake
Degas,sea_swallow
famishment,Saponaria_officinalis
Brno,city_district
fluxing_lime,Torrey_tree
high_street,defroster
amphitropous_ovule,lowland_white_fir
cutin,tear_sac
chemical_mechanism,keenness
United_Methodist_Church,Correggio
gooseberry_bush,river_bottom
I_Chronicles,intumescency
common_beech,physical_chemistry
Viola_striata,King_of_Swing
Lapland,pheasant's-eye
Wankel_rotary_engine,mermaid
table-tennis_table,Harding_grass
fluxmeter,Chicken_Little
collodion,Sibine
bear_grass,tine
Discovery_Day,poster
mess_jacket,dub
water_chestnut_plant,genus_Melanotis
NOC,ashlar
druggist,Syrian_bear
bookstall,foreign_policy
rowan,Pinus_thunbergii
rift_valley,seizure-alert_dog
screw_auger,coat_tree
Toll_House_cookie,Iguazu
Irish_Republic,terrycloth
Winckelmann,home_appliance
illegality,Huntingdon_willow
forensic_pathology,messaging
Iroquois,chiasmus
Bill_Russell,cotton_rose
tortilla,grimness
Adriatic_Sea,Franz_Peter_Schubert
Johnston,Lachnolaimus_maximus
scale_moss,Virgin_Islands_National_Park
gunflint,English_cocker_spaniel
autopsy,seed_plant
case-fatality_proportion,mons
family_circle,floating_bridge
peach_sauce,Leptoptilus_crumeniferus
myotonia,Albanian_monetary_unit
razzle,Roanoke
bonobo,Ischia
Dictaphone,Epistle_of_Paul_the_Apostle_to_Titus
single_bed,wood_mouse
heavyheartedness,daisybush
screw-pine_family,bize
Mikhail_Bakunin,Saccharum_officinarum
heteroploidy,electronic_warfare-support_measures
Irish_water_spaniel,hawsehole
nucha,fosse
sendup,Le_Corbusier
esprit,mason
hamelia,bulgur_wheat
Pusey,sum_of_money
family_Ichthyosauridae,musculus_pectoralis_major
thromboplastin,collusion
mephitis,Redding
insurance,opus
Sciurus_carolinensis,visual_joke
Titus_Lucretius_Carus,Cardiidae
number_cruncher,elongate_leaf
laryngostenosis,Hydrobatidae
genus_Sesamum,voting_precinct
shave,palas
Gibson,baron
landing_party,Mandelbrot_set
variola_major_virus,genus_Amphicarpaea
Sperry,line_worker
ventral_placentation,Henry
Brevibloc,manna
bonnethead,Uuh
sewer_rat,rolling_wave
fair-mindedness,parroket
news_leak,psychology_department
Wilms'_tumor,soprano
genus_Ajaia,Teddy_boy
continental_shelf,loading_zone
vomitus,bitter_salts
demagogue,Teucrium_marum
covariance,hypnagogue
egotism,myxosporidian
Cardamine_douglasii,resonance
order_Gnetales,pichiciego
tilth,wanness
wagonwright,undies
Bedlam,commodiousness
beachfront,Leptopteris_superba
Wolfgang_Amadeus_Mozart,phytoplankton
popular_opinion,mortgage_loan
government,fop
melioration,Clifford_trust
Post-Office_box,genus_Pterodactylus
ill-breeding,coelom
mind_reader,abstractor
Britannia_metal,MANPAD
Origen,acetic_anhydride
cubic_meter,squatness
Sod's_Law,Pierre_Athanase_Larousse
Lilongwe,Edgar
amplitude_distortion,screw_pine
acquired_immunity,winceyette
regaining,visual_aspect
sebacic_acid,atomic_number_2
straight_chain,sundial_lupine
doughboy,Panipat
John_Tuzo_Wilson,lacewing_fly
racing_circuit,white_oak
strenuousness,Saint_Ulmo's_fire
brinjal,sea_gull
congruity,mastering
Cricetidae,genus_Neurospora
inrush,radiation_diagram
penetrator,nurse_shark
nutritionist,coney
abrachia,Beecher
hydrogen_peroxide,closed_book
Entolomataceae,refrigerator_cookie
Nilsson,applemint
St._Vincent,sparkplug_wrench
big_deal,nalorphine
Leucothoe_editorum,muscadelle
plant_process,rose_of_Sharon
sceptic,exposition
cynophobia,letter_of_mark_and_reprisal
geometric_pace,mugger
idiot,flotilla
incomplete_fracture,Browning_machine_gun
man-of-the-earth,Huig_de_Groot
bedtime,family_Apidae
fishbowl,Second_Reich
shegetz,cow_cockle
megalosaur,cytokinesis
strangler,arbitrariness
genus_Anhinga,Thymus_serpyllum
pridefulness,Samuel_Adams
Sao_Bernardo_do_Campo,homemaker
Spanish_mackerel,mujahid
Parisian,bastardy
caramel,praying_mantid
vena_thyroidea,George_Bernard_Shaw
United_States_Military_Academy,Currier
sharecrop_farmer,psychogenic_fugue
Cardinalis_cardinalis,family_Dasyurinae
Europeanization,Elias_Canetti
capital_of_Uganda,Sergei_Pavlovich_Diaghilev
viability,Grigori_Potyokin
arteria_basilaris,Secretary_of_War
scrub-bird,Bridges
genus_Aspidophoroides,angelology
violet_family,asseverator
twilight_sleep,deoxyribose
shoestring,genus_Helianthemum
dining,true_senna
androgenesis,suffragette
roselle,Mexican_beaded_lizard
ore_processing,flashiness
Dipodidae,anise_plant
sawm,pressurized_water_reactor
gray_matter,Jungermanniaceae
Frederick_Delius,distress
croo_monkey,escrow_funds
sanitisation,deaf-and-dumb_person
Bikini,Citellus_parryi
Woodwardia,genus_Ambloplites
senior_high_school,Maimonides
Senecio_triangularis,genus_Erethizon
epidemic_myalgia,heterocyclic_ring
William_Hyde_Wollaston,hypophysis
Paul_III,active_agent
genus_Dasyprocta,calculating_machine
parrot's_beak,Stanley_Frank_Musial
Physeter,polysomy
blowout,quinnat_salmon
Thomas_Jefferson,Berbers
Certhia_americana,Schlumbergera_buckleyi
massed_fire,soap_bubble
Henry_Wheeler_Shaw,phentolamine
sensory_nerve,cluck
in-basket,Lasiurus
foetoscopy,dairy_farmer
nasotracheal_tube,Mexican_onyx
family_Casuaridae,lowering
Auriculariales,housefather
Bahama_Islands,moxie_plum
Biblical_Aramaic,order_Cydippea
halitus,albumen
Conilurus,Texas_longhorn
nitrogen,aardvark
arterial_plaque,Clethra
blackcap,Gracula_religiosa
snow_bank,order_Strigiformes
hypertext_markup_language,prosecution
mock_turtle_soup,comfrey
sandwich_board,blackbeetle
Rhinonicteris_aurantius,Halimodendron_argenteum
Lion,Cercis
Pongo_pygmaeus,gurney
last_in_first_out,demureness
Bahasa_Indonesia,Notropis_atherinoides
Texas_armadillo,ocellated_turkey
incalescence,legitimation
younker,vena_angularis
CBR,Lactophrys
Nothofagus_procera,flycatching_warbler
Bruckner,giant_armadillo
William_Franklin_Graham,genus_Achimenes
pocket_dictionary,tax_liability
pipeline,decisiveness
light_machine_gun,Spheniscus
vengefulness,gonadotropic_hormone
personal_business,Weimar_Republic
endogen,Nguni
lacewood,opening
fleur-de-lis,culpable_negligence
arum_family,Conte_Alessandro_Giuseppe_Antonio_Anastasio_Volta
Macowanites_americanus,professional_relation
adenopathy,hockey_player
Rolaids,Quechua
Netherlands_Guiana,antivenin
wax_moth,garden_rake
department_of_history,adventure
mineshaft,Meuse-Argonne
headfish,genus_Citrus
Typha,store_cheese
genus_Alytes,Nipa
pointing_trowel,smew
sinus,Ebionite
vigilantism,Hepaticopsida
white_horse_nettle,quart
nightclub,sinus_rectus
greater_spearwort,biosafety_level_2
Pepcid,peal
church_roll,allergy_diet
Wynnea_americana,Milvus
Mecholyl,undersurface
the_Tempter,birdhouse
spin,caroler
vigilance_man,mean_solar_day
fuller's_teasel,fine_print
golden_polypody,estate_car
Ziegfeld_Follies,nephrosclerosis
depravity,taciturnity
depressor,Warner
Tatary,Hamilton
violation,genus_Gorgonocephalus
Ilion,collateral
tansy,Madia_elegans
water_of_crystallization,Todus
paleogeography,tonsil
open_secret,European_box
adolescent,Financial_Crimes_Enforcement_Network
Helladic_civilisation,indecorousness
electron_tube,coal_industry
wild_dog,genus_Leontideus
Potawatomi,diplomate
flashlight_battery,cedi
bottom_dog,Cakile
cental,secondary_education
squib,Mecholyl
genus_Xerophyllum,Le_Duc_Tho
Giovanni_Jacopo_Casanova_de_Seingalt,Menotti
ephemera,hackney_coach
Gypaetus,nitre
finishing,corn_spurrey
breeze_block,minimum_wage
mountain_nyala,horse_fly
press_of_sail,genus_Acocanthera
genus_Cerastium,Castor_fiber
hired_help,rarefaction
Albizzia_lebbeck,Chekov
acanthus,genus_Gobiesox
Centauria_calcitrapa,lobelia_family
fluoxetine,scoop_shovel
genus_Collocalia,olfactory_modality
horseshoes,order_Pleuronectiformes
black_bile,Cerastium
lanternfish,hair_ball
bypass_condenser,Indian_rattlebox
garden_symphilid,ejector_seat
bon_vivant,capital_of_Nicaragua
ziti,coding_DNA
myxobacteria,dog_rose
petroglyph,telephone_operator
healthcare,book
womaniser,collaboration
Spock,Dormition
reef_squirrelfish,St_Bernard
Alnus_maritima,topographic_point
Ultrasuede,bookstore
Calliphoridae,Tay-Sachs
newbie,first_sergeant
canalis_inguinalis,alteration
bench_warrant,leatherback
two-tier_bid,Penelope
hermitage,tamarau
hornbill,Gaboriau
advowson,morgen
Fourth_Earl_of_Chesterfield,pace_car
brickyard,magazine
brine,hunter
Thomas_Sully,balefulness
southern_live_oak,broom_grass
shrubby_penstemon,Tammy_Wynetter_Pugh
Dahna,coulter
nutritiveness,computer_store
gravida_II,genus_Parmelia
cutting_tool,VT
climax,prophylactic_device
blue_ribbon_jury,chortle
Vladimir_Ilyich_Ulyanov,genus_Gopherus
thiamin,cell-mediated_immune_response
trousering,Corynebacterium_diphtheriae
quarter-hour,Lapp
taffeta_weave,genus_Gyps
Miniconju,family_Giraffidae
funeral_church,senile_dementia
weft,chokecherry_tree
genus_Ageratina,Byzantine_Empire
kitty-cat,Thorndike
cocobolo,Karl_Czerny
rivalry,incasement
equaliser,Melospiza
Cooke,cinder
hyperglycaemia,Azerbaijani_monetary_unit
acetyl_group,hart
self-protection,Adalia_bipunctata
Tasman_dwarf_pine,Conte_Alessandro_Volta
nicety,root_canal
Citrus_nobilis,red-green_colour_blindness
fuse,nape
dissident,Frank_Harris
Uhland,individualism
skiffle,yellow_loosestrife
genus_Pinctada,Cerastium
Ulster,bullrush
positivist,independent_variable
wildfire,Paul_Adrien_Maurice_Dirac
landlocked_salmon,contractor
transcendence,green_arrow_arum
capital_of_Ghana,calcium_bicarbonate
electrostatic_field,sorriness
zoom,fusil
Solway_Firth,heathland
hematinic,mottling
walker,Marx_Brothers
Haftarah,deliverance
malversation,alkane
genus_Aloe,audited_account
genus_Tetragonurus,real
accessory_hemiazygous_vein,Crescentia
Rattigan,genus_Crotalaria
step-in,sterling_silver
purple_chinese_houses,Saint_Francis_River
vicar_apostolic,Paul_Hermann_Muller
VHF,genus_Petroselinum
Alnus_rugosa,herb_Christopher
refuter,half-free_morel
genus_Polioptila,novel
dependance,shepherd's_clock
candle,Verpa
business_organisation,desalinization
aalii,crotonbug
Voyageurs_National_Park,unguiculate
topical_prostaglandin_eyedrop,Zaar
downside,avulsion
Pango_Pango,Id_al-Fitr
alliterator,textile_screw_pine
Monte_Carlo,tomato_plant
atomic_number_30,vena_epigastrica_superficialis
oyster_catcher,Anthoceros
flu,coffee_substitute
Gregory_Nazianzen,functionalism
George_Vancouver,perpendicular_style
genus_Alsophila,kitchen_midden
disservice,stone_facing
Burgundy,lesser_hemlock
clinical_psychology,Araguaya_River
lockup,neurilemoma
top,Paralithodes_camtschatica
illiterate,sandbank
Yavapai,macintosh
lieutenant_commander,Hiram_King_Williams
Alces,pellucidness
Apostle_of_Germany,song_thrush
Aberdare,John_Tyndall
numbers_racket,breach_of_the_covenant_of_warranty
tombac,moss_locust
impenetrability,truculency
freshwater_bream,motor_vehicle
resource,doorsill
circular_function,clock_radio
pledge_taker,leg_curl
aerides,infinitive
mathematical_operation,feticide
Teapot_Dome,elephant-tusk
kalansuwa,bartonia
abarticulation,stewardess
nickel,trilateral
parametritis,relativity
forlornness,door_guard
noncombatant,Hoffman
egg_timer,genus_Scindapsus
Henry_Fonda,vena_labialis
hibernation,family_Caricaceae
Annona_reticulata,myxoedema
goggle-eye,gaze
refuter,order_Isoetales
spotted_hemlock,scandalisation
stamping_mill,Chamaeleo_chamaeleon
whale_shark,body_substance
genus_Cypraea,ordinal
incitation,forgivingness
hermeneutics,cappuccino_coffee
Gabriello_Fallopio,Brevoortia
fretfulness,long_saphenous_vein
Osmundaceae,fireboat
Maltese_terrier,automotive_engineer
patty,artificial_lake
subspace,Dendranthema_grandifloruom
genital_torture,indinavir
Austrotaxus,spurt
stamping_machine,ethernet_cable
Ericales,Dutch_uncle
elephantiasis_neuromatosa,George_Lucas
genus_Alectoria,slatternliness
Fidel_Castro_Ruz,Solenostemon_scutellarioides
Calochortus_macrocarpus,Olympia
graininess,widowhood
depersonalization,negative_stimulation
visible_horizon,mauler
galbanum,genus_Commelina
cartouche,mercaptopurine
exporter,protistan
Rupicapra_rupicapra,dillenia
smash_hit,Cornish_heath
time_deposit_account,beast_of_burden
coarseness,bawler
civet_cat,chromaesthesia
sale_in_gross,Maxim_Gorki
custody,exclusive
mid-sixties,thoracoepigastric_vein
Vitus_Behring,peacekeeping
imaginary_part,colour_television
medick,vice_president
stage_crew,pigeon_breast
bearing_brass,sealskin_tent
testa,silicon
genus_Culcita,involuntary_trust
Joseph_Warren_Stilwell,Pascha
xerophthalmus,Xerxes_I
Pelargonium_limoneum,genus_Balsamorhiza
Brama_raii,social_drinker
tic-tac-toe,memory_picture
assembly_language,the_skinny
rustler,Alligator_mississipiensis
Kazakstan,bricks_and_mortar
depressor,Euclid's_axiom
ramus,idolatress
fibrocartilage,indie
Danu,Fratercula
Gouda_cheese,ram's_horn
greatcoat,goldilocks
mortise,Cassiope_mertensiana
check-out_procedure,foil
Andrew_Dickson_White,sphericity
Monterey_Bay,joiner
Gyromitra_fastigiata,Olympus
teeter-totter,saran
family_Laridae,European_curlew
red_spider_mite,techie
order_Gymnophiona,Patrai
family_Hygrophoraceae,due_south
inside_loop,verticillium
curry,Arenaria_interpres
Chemnitzer_concertina,commensal
Pseudocolus_fusiformis,hen_of_the_woods
Illinois,Clatonia_lanceolata
thick-footed_morel,genus_Salvinia
collie,Pipidae
Rosh_Hashonah,tuberculin
accent,peptide
genus_Rubus,treponema
rheumatoid_arthritis,developmental_age
urn_fungus,jade
Salomon,vertical_stabilizer
Cedrus_deodara,Dentaria_bulbifera
puff_paste,Kyd
wicket-keeper,stowing
appetizer,medium_frequency
pitch_blackness,orange_rind
echovirus,common_pea
domicile,freshwater_limpet
window_seat,fret
minister_plenipotentiary,Sergei_Sergeyevich_Prokofiev
Antilocapra,inanition
cherry-tree_gum,time_period
sewage_disposal,shortener
insulin_shock,bar_mask
vulcaniser,Molossidae
Cherbourg,Lithocarpus
meed,Mount_Bartle_Frere
holy_of_holies,Entelea
troublesomeness,coolant
operative,whip-scorpion
sublimity,United_States_Army
stressor,nitrochloromethane
Topeka,amends
common_room,Leonurus_cardiaca
value-added_tax,Cornus_canadensis
unsaturated_fatty_acid,Don_Luchino_Visconti_Conte_di_Modrone
urethane,Great_Wall_of_China
Alexander_Woollcott,grey_lemming
flooring,fidget
gospel,three-seeded_mercury
dossal,irresistibility
tetanus_immune_globulin,family_Lamnidae
iron-gray,positive_charge
Carduelis,Fugo
circular_function,cheese
soapweed,hawker
paramagnetism,vena_femoralis
air_pocket,nitweed
mutism,logistics
lumbus,calceolaria
Campanula_glomerata,synergy
Dactylopterus,gramps
Powell,pit_viper
genus_Oedogonium,investigating
spinocerebellar_disorder,Australian_lungfish
ETD,monstera
serration,sentimentalism
default_judgement,Islam_Nation
dreadfulness,pastime
genus_Euplectella,crosstalk
cleanup_position,Arthur_John_Gielgud
peach-leaved_willow,vegetable_hummingbird
dog_hobble,clank
earthtongue,ecclesiastical_calendar
paging,inordinateness
shepherd,shrewishness
cum,Paleacrita_vernata
drugstore,ghat
Cassia,bath_salts
textile_machine,semitone
harpulla,cassiri
Dipsacus_fullonum,tax_write-off
falling_off,lunatic
levallorphan,spiritual_domain
Clorox,class_Bivalvia
Anthriscus_cereifolium,undercover_operation
Sorghum_bicolor,family_Ptilonorhynchidae
valeric_acid,astigmia
family_Lycoperdaceae,Rameau
class_Euglenophyceae,plaything
Mario_Vargas_Llosa,pearly-shelled_mussel
solicitation,blotting_paper
Luftwaffe,lackey
finger_food,lens_cap
panoramic_view,standard_temperature
management_consultant,wild_red_oat
tone_ending,Sacramento
self-realisation,Attila
sutura_lamboidea,Psittacula_krameri
pyridoxal,Australian_Desert
overpass,histoincompatibility
twenty-one,musculature
Hebrew_lesson,stratification
yellow-eyed_grass_family,jelly_egg
Sauternes,Republic_of_Nauru
cinnamon_vine,birth_defect
Teucrium,Lepanto
greyhound_racing,rightfield
efficaciousness,division_Dicynodontia
personal_relationship,Robbins
tebibit,Aceraceae
father-in-law,subfamily_Malaconotinae
gun_barrel,clinker_brick
Ithaki,blotch
benignancy,title_role
launch_pad,appetizer
Spodoptera,Cordoba
Behring,corneal_transplant
ketchup,Mbabane
Swietinia,power_law
bridge_hand,sporting_dog
Stellaria_media,Munchhausen
death_camp,babbler
neural_net,long-staple_cotton
rapscallion,Zend-Avesta
soft_goods,golden_parachute
Corpus_Christi,ornamentalism
Ian_Fleming,ousting
genus_Dicentra,Phasianidae
bronchus,Mackinaw_boat
piecework,superior_alveolar_artery
agar,eleventh_cranial_nerve
egalitarian,Reuben_Lucius_Goldberg
Oscar_Hammerstein,Open_University
subclass_Heterobasidiomycetes,tickler_coil
sheath,behavior
red_kauri,episiotomy
rosid_dicot_genus,Bercy_butter
freelance,blenny
logotype,family_Alligatoridae
mascarpone,conspecific
newbie,astrodynamics
state_of_mind,family_Dromaeosauridae
Taklimakan_Desert,disapprobation
village_green,Hugo_Wolf
genus_Stegosaurus,Phobos
plasterboard,fringed_orchid
ctenophore,crepe_jasmine
Vicia_villosa,genus_Limanda
Brunfelsia_americana,bottle_gourd
Right_Bank,fellatio
froghopper,ms
green_peach_aphid,Count_Maurice_Maeterlinck
pandean_pipe,positivity
straight-arm,Congreve
Olympian,commixture
encopresis,boric_acid
witching,attributive_genitive
Greater_New_York,vine
schematization,college
scabicide,homonymy
genus_Rhus,ring_blackbird
blackheart_cherry,Sarcorhamphus
fumaric_acid,Ilion
Chiwere,toffy
coast_lily,chain_letter
computer_storage,amniotic_cavity
plutonium_239,family_Loxomataceae
soap_powder,Bruckenthalia
columbite,Weill
ardour,literal_error
gonococcus,tummy_crunch
Euclidean_space,serine
long_measure,chamosite
cistron,Kepler's_law_of_planetary_motion
World_Health_Organization,id
heart,s
preeminence,hangman's_rope
archil,Lafora's_disease
autophyte,haemorrhage
greenling,dismission
demagogue,etamine
impala,birth_control_pill
American_sable,Puccinia
gold_mine,hammer_nose
skin_color,capital_of_Bolivia
Serranus,geometrid_moth
Stephen_Hawking,Kirchner
Jakob_Bernoulli,antepenultima
orchidectomy,distinctiveness
firepower,London_plane
malignant_tumor,surgical_contraception
Gambusia,red_amaranth
Hawaii_Island,Phoenix_dactylifera
pneumocystis_pneumonia,capital_of_Cyprus
take,Malvastrum
mild_steel,book_seller
lovage,recruitment
Sarazen,Schlumbergera_baridgesii
John_Walker,anchor_light
scarlet_runner_bean,crownwork
Cephalanthera_rubra,nonconformist
marsh_fern,Hugo_Junkers
camphor_daisy,howitzer
Aides,crispiness
gaslight,Alcedo
warlock,revolutionist
quartz_mill,wild_cranberry
proscenium,fumigant
cloche,repatriate
lateral_pass,ELF
ecclesiastic,carrell
family_Acanthuridae,Zimbabwean
collect,afferent_fiber
vena_spinalis,ethanoyl_group
poor_fish,wading
Robert_Brown,common_chord
internal_angle,Lawrence_Durrell
motor_ataxia,trump_card
Rockies,urinalysis
celery_salt,bay-leaved_caper
Collinsia_verna,firmament
hexapod,reef_knot
genus_Nicotiana,electrical_shunt
food_for_thought,order_Spatangoida
birthwort_family,large_periwinkle
ice_pick,compact_car
tri-iodomethane,arboriculture
Brunnhilde,city_line
nitril,chamfer_bit
megagametophyte,evening_grosbeak
ravehook,ratbite_fever_bacterium
crystal_detector,yellow_cattley_guava
velar,faith
order_Ostariophysi,nightie
Alep,sartorius_muscle
constatation,creole-fish
citrus_tree,order_Uredinales
Meryta,Hermann
Zigadenus_nuttalli,Monotremata
Thomas_Hopkins_Gallaudet,melting_point
amniotic_fluid,junior_high
Verdandi,Strachey
bastard_lignum_vitae,European_cranberrybush
K-Dur_20,military_engineer
Buddha,static_electricity
Revelation_of_Saint_John_the_Divine,pungapung
Trojan_War,single_tax
genus_Citrus,field_of_fire
thymosin,genus_Apus
secretarial_assistant,Canavalia_ensiformis
lockman,ready-made
Japanese_black_pine,Menippe
archer,First_of_May
genus_Argiope,breach_of_the_covenant_of_warranty
Limonium,King_Arthur
indirect_tax,atomic_number_87
invigoration,Kendall_partial_rank_correlation
Rodentia,Great_Lakes_State
shepherd's_pipe,Sir_Ralph_David_Richardson
Dehong_Dai,nicker_nut
obtainment,shoebill
marathoner,Polygala
immunogenicity,explorer
order_Opiliones,stoolie
maple-leaf,humin
Dutch_courage,perilune
anointing,inmate
smart,time_of_departure
intercalation,Gesner
Cacalia_javanica,Nanking
genus_Streptocarpus,child_prodigy
Mindanao,Aruru
United_Self-Defense_Force_of_Colombia,pommel
Caesalpinia_coriaria,Hydrus
keurboom,cathode-ray_tube
earthly_concern,mosaic_gold
letters_patent,dichromasy
stinking_goosefoot,puerperium
Islamic_Army_of_Aden,prickly_pine
cladding,poetic_license
upper_mantle,gash
lowland_white_fir,erythroblastosis
ticket_book,serialisation
Streptomycetaceae,second_estate
Thackeray,nor'-nor'-west
jimson_weed,confusedness
good-by,Dasyurus
porkpie_hat,naturalness
meat_loaf,life_jacket
toaster_oven,vulcanisation
genus_Blighia,Doctor_of_Public_Health
spaghetti_squash,acatalectic
self-worship,blennioid_fish
genus_Alcea,ream
conclusiveness,Debs
binary_numeration_system,guava
galbulus,Ken_Elton_Kesey
roach,William_Franklin_Graham
nickel_steel,introit
Dutch_treat,carrot
CPA,information_gathering
shale_oil,surf
oyster_catcher,finder's_fee
citrine,manglietia
math_teacher,girlishness
Bay_of_Ob,subversion
Plecotus_townsendi,fraud_in_fact
over_the_counter_stock,snow_job
germander,cantillation
splanchnic_nerve,genus_Hyacinthus
sea_change,clack
anterior_pituitary_gland,American_oriole
browser,Chaldee
slap,City_of_the_Angels
scoinson_arch,lymantriid
Chlamydera_nuchalis,Chihuahua
piggishness,featheredge
frost_heave,cantaloup_vine
genus_Potos,Diplotaxis_muralis
disbursement,El_Aaium
thyrotrophic_hormone,flak
Idaho_Falls,vagueness
ureterostenosis,Canachites_canadensis
hip_roof,Alaric
burgrass,postmortem_examination
escheat,ball-buster
operatic_star,shorts
fibrinopeptide,white_prairie_aster
graphics,lumbar_pain
face_saving,memoriser
leadership,Ralph_Vaughan_Williams
toper's_nose,paper_birch
stylus_printer,Charleston
serfhood,common_mullein
Tragopogon_dubius,birdcage
tree_branch,noxiousness
sene,Dalmatian_pyrethrum
inexperience,fibroblast
air_gun,beef_burrito
Reynard,delta
generalissimo,siderocyte
pelagic_bird,envoi
