5000
caraway_seed_bread,salal
obovate_leaf,baby_buster
Houses_of_Parliament,Brodiaea_elegans
Batna,genus_Alcea
entitlement,Vireonidae
rapport,alleyway
White_person,creeping_lily
Liechtensteiner,family_Percidae
hussar_monkey,tinned_meat
Ariocarpus,strategian
justice_of_the_peace,Charina_bottae
supra_expressionism,Jagger
buttonhole,ear-shell
palaeoclimatology,Bercy_butter
Streptosolen_jamesonii,dyadic_operation
test-tube_baby,waltz
test_paper,archaeornis
withholding_tax,veal_scallopini
Salmo,cliffhanger
American_merganser,Agnatha
aerie,wych_elm
bootboys,silverrod
vacuolization,genus_Tenrec
signor,stopover
internationalism,shiny_lyonia
photochemical_exchange,tartare_sauce
Anton_Bruckner,snaffle
running_pine,capital_of_Iran
krigia,hemin
torque_converter,rickets
parcel_post,Cercospora_kopkei
animal_foot,Anchorage
white_admiral,Rf
bologram,twelve
Tringa_melanoleuca,Nicaea
phonation,piffle
bullhead_catfish,Anglicanism
herpangia,lambkin
valence,genus_Budorcas
Megatherium,purge
certified_check,Artemisia_filifolia
stromateid,Lippizaner
mammilla,Albany
theatrical,Castile
dame,nonconformist
ampere-turn,holding_yard
postponement,Treasure_State
Dame_Muriel_Spark,torment
loaf_of_bread,heptad
golden_pea,Hindu_deity
Polianthes,surgeon
antipasto,counterplan
garment,Allamanda_cathartica
plant_food,Karl_Baedeker
subphylum_Craniata,Ni-resist
acetate_rayon,man
complex_quantity,Redeemer
clergyman,poor_fish
heir,Edmund_Malone
Alexander_Wilson,by-line
packing_nut,arbovirus
decalitre,school_newspaper
Artemisia_cana,biological_group
schizophrenic_disorder,Poulenc
perception,antechamber
wheeling,genus_Fuscoboletinus
torrent,family_Carcharhinidae
hand_wear,rowboat
eye-lotion,Eragrostic_abyssinica
glee_club,advocator
charge_card,strawberry_jam
piggery,release
conoid,majority
Mon,bedfellow
open-end_credit,norm
big_league,eligibility
acciaccatura,Pietism
family_Plumbaginaceae,solitary_confinement
assembling,couturier
glove_leather,Pteropsida
Mullus_surmuletus,autotrophic_organism
Tetragonurus,Listera_ovata
Perutz,Onychophora
Joseph_Haydn,cantaloup_vine
executive_clemency,Thrinax_parviflora
bray,LAN
genus_Saiga,wheelwork
sheepman,genus_Actias
felt_fern,genus_Orbignya
centimetre,Norwegian_monetary_unit
Spinus_tristis,drivel
creche,dictation
hunger_marcher,crayon
dyscalculia,aid
Talinum_calycinum,molasses_cookie
Chloranthaceae,Demulen
Abronia_umbellata,Lynx_rufus
morass,Prunus_sieboldii
kangaroo_paw,rattlesnake's_master
European_bittern,family_Tetraonidae
genus_Clostridium,physiological_nystagmus
radio_detection_and_ranging,put-down
Encyclia_citrina,red_beech
tissue_paper,hatchling
baddeleyite,Pinot_blanc
bear's-paw_fern,Edmund_Spenser
Centropomus,Gardenia_jasminoides
Prospero_Lambertini,Divina_Commedia
shanny,shadowgraph
avifauna,northern_pike
local_option,quietness
foal,radiolocation
siphonophore,universal_solvent
nuisance_value,genus_Pongamia
Verrazano_Narrows,nondepository_financial_institution
hive,mountain_hollyhock
Gell-Mann,genus_Livistona
hepatic_duct,causeway
majolica,jumbal
dekko,highness
encyclopedist,stoat
upper_respiratory_tract,incorruptness
bluepoint,pyrimidine
genus_Athene,setline
ball,impulsiveness
Turkmenistan,reversioner
linguistic_geography,benzyl
genus_Junco,papacy
genus_Rissa,fermenting
the_way_of_the_world,kainite
Turkish_lira,neurolinguistics
baby_bed,hagiographer
Muscivora-forficata,hypnotic_trance
Kulanapan,sprocket_wheel
playbook,hurricane_lantern
butterfingers,W._V._Quine
bacterial_toxin,mosaic
Queen's_crape_myrtle,petroleum_jelly
sax,woodland_white_violet
cognitive_content,Conyza
Wickliffe,Melopsittacus_undulatus
shoveller,inexpedience
cutwork,ectozoan
Girolamo_Savonarola,rules_of_order
genus_Klebsiella,Chinese_magnolia
Nigroporus,majolica
moonshine,arctic_moss
threshing_floor,pollard
geebung,blind_corner
pill_head,nuclear_physicist
Calamintha_nepeta,Hydnum
Republic_of_Mauritius,missal
Leningrad,Carduus
doddle,periodontist
genus_Juglans,stable_factor
stoichiometry,variola_minor
quint,shirtsleeve
gauge,fat
second_cousin,master_race
IC,baronet
maitre_d',calomel
array,territorial
common_tarweed,mean_deviation
dog_catcher,drip_mould
pine,dry_cleaners
Hyperoartia,diameter
Klyuchevskaya,minnow
drive,genus_Lyrurus
genus_Recurvirostra,Malopterurus
calcium_carbide,circus_acrobat
Anser,counterrevolutionary
hiccup_nut,crude_oil
totem,smooth_plane
Jerome_David_Kern,diversionist
cosmic_time,introit
Eragrostis_tef,silique
Serranus,comfortableness
Eutamius_sibiricus,White_Sea
prime_of_life,Schubert
genus_Vicugna,finalization
first_half,work_animal
wolf_pack,chiliast
hallucinogen,shaver
Malthusian,riskiness
input_device,Qibla
Detroit_River,medical_officer
alpine_coltsfoot,sheldrake
astringence,overthrust_fault
pilot_project,fish_mousse
dika,foothill
fossilisation,Dipodomys_phillipsii
James_Earl_Carter_Jr.,Jomada_II
spreading,pledge
Ida_Minerva_Tarbell,mercury-vapor_lamp
bohemian,Henry_the_Great
biofeedback,widgeon
solder,rusticism
Grevillea_robusta,Association_for_the_Advancement_of_Retired_Persons
crush,stem-cell_research
Mojave,oestradiol
mushroom_pimple,airstream
bomb_site,Socinus
gamma_aminobutyric_acid,Saratov
garroter,hegira
beefsteak_morel,cassette_tape
disulfiram,Publius_Cornelius_Tacitus
Sphaerocarpaceae,molehill
wide_wale,Bruckenthalia_spiculifolia
tonnage_duty,shoal
PIE,Sir_William_Walton
MALS,depravity
cumin,black_grouse
seckel,Fusanus
Salix_discolor,Plectranthus_amboinicus
reformatory,altarpiece
curly_pondweed,silt
brass_instrument,countryfolk
reticulocyte,Titania
anime,psychosexual_development
galactosemia,Odo_of_Lagery
temple_tree,mulatto
greisen,vapor_lock
honeybells,Glareolidae
occupational_therapy,Monopoly
contract_under_seal,weathercock
Distinguished_Service_Cross,herpes_zoster
tactical_maneuver,sportswear
blockade-runner,US_Army_Criminal_Investigation_Laboratory
remuneration,American_bittern
Andropogon_virginicus,declination
chickpea,HDL_cholesterol
sawbill,proprietress
terra_cotta,pepperiness
silkworm,platelayer
sleep_apnea,yarn
herniation,Flavius_Claudius_Julianus
gum_accroides,Euphorbia_dentata
ESR,communications_intelligence
semivowel,cheatgrass
oblique_bandage,pacing
beach_plum,infrared_therapy
prairie_golden_aster,salesgirl
Salvadorian,scumble
Paul_Leonard_Newman,debaser
Florida_strap_fern,gagman
clitoral_vein,Antonio_Lucio_Vivaldi
cleavers,Erignathus
sapota,iron_putty
Arapahoe,pod
Big_Bend,twelvemonth
Sapindaceae,crepuscule
AMP,Cornelis_Jansen
embarkment,tithe_barn
ascomycetous_fungus,operating_theater
brittlebush,syllepsis
cassette_tape,profoundness
Ustilaginoidea,hydantoin
Jefferson_City,Rheum_rhaponticum
Iris_cristata,school_bell
genus_Squilla,Department_of_the_Treasury
commodore,Gardenia_augusta
antipsychotic,Anoa_depressicornis
garlic_sauce,banderillero
Our_Lady's_mild_thistle,order_Percomorphi
Felidae,showy_orchis
civilian,family_Diapensiaceae
up-to-dateness,olive-green
learning,butterscotch
tub,crystal_ball
disfigurement,ablactation
expositor,colour_television_system
Furnivall,Liliopsida
Master_of_Architecture,Gavidae
Afroasiatic,principle_of_liquid_displacement
imbauba,family_Daubentoniidae
Mary_Harris_Jones,Marks
Rosa_Melba_Ponselle,two-man_tent
footrest,rescue_equipment
Urginea,wedding_cake
reserve_account,subfamily_Bassariscidae
Scombresox,Hypopachus
kenosis,druidism
presentation,at_home
scorpaenid_fish,ensign
Fellata,geezerhood
coefficient_of_reflection,Sir_Richard_Burton
bowlful,aculeus
fenugreek_seed,Acts_of_the_Apostles
agenda_item,eighter_from_Decatur
genus_Lepisma,Passion
minder,fibber
Star_Chamber,milkweed_family
norethynodrel,Wooden_Horse
sewage_works,eastern_indigo_snake
type_O,market_penetration
Hong_Kong_dollar,Sanguinaria_canadensis
declarative,cookie_cutter
Jaghatai,centreboard
pitcher_sage,greater_butterfly_orchid
lira,calendar_method
genus_Spilogale,guardian
folie,Haitian_capital
inning,Federal_Home_Loan_Bank_System
point_after,surcharge
chest_register,Lescol
eye_surgery,Struthio_camelus
rennet,Libocedrus_decurrens
Jack,sterileness
ski_jumping,effectuation
perchloric_acid,Commerce_Secretary
cow_town,foundation
bad_egg,California_dandelion
Acacia_farnesiana,Brassicaceae
cave_in,synchronising
Simon_Legree,Book_of_Jeremiah
Ocean_State,subway
river_shad,announcement
trotting_horse,scallopine
Pindaric,genus_Borassus
European_brooklime,unveiling
hurt,TURP
Fratercula,indictability
Malthusianism,somatotype
extortion,Mexican_green
palm_kernel,natriuresis
evasion,genus_Lepidochelys
charge_per_unit,community_chest
bradycardia,chromium_steel
Wanda_Landowska,Aletris_farinosa
ganof,netting
mackerel_sky,sorb_apple_tree
russet_scab,Mongol_dynasty
backache,reflexology
subsidiser,electronic_instrument
lollipop_woman,roentgen
Hokusai,rotating_mechanism
Tai_Yuan,Independence_Hall
paper_chase,myringa
Sterna,mephenytoin
John_Speke,Teleprompter
extraversion,catatonic_schizophrenia
Matricaria,dyer's_weed
hardstem_bulrush,Dacron
snowdrop_windflower,Anchusa_capensis
thoroughbred,Cervantes_Saavedra
accoucheuse,stock_car
expenditure,layby
tutorship,heir-at-law
Very_pistol,quantic
agglutination_test,autopsy
correction,genus_Antilope
type_of_architecture,support_hose
disorganized_schizophrenia,Decapterus_macarellus
stock_split,spousal_relationship
loveseat,bead_fern
corneal_graft,Cornus_florida
Karl-Marx-Stadt,hooter
Bradley's_spleenwort,battle_of_Ypres
megaphone,Mellon
lebensraum,Tulestoma
tomcat,LXXX
young_lady,hypophosphoric_acid
Jayshullah,genus_Pterocles
calliopsis,communicating
Mexican-American,World_Tamil_Movement
Sleeping_Beauty,cocoa_powder
catsup_bottle,sublimation
preoccupation,electrostatic_generator
genus_Elaeis,Harlan_Stone
starting_signal,supplementation
Earl_of_Leicester,genus_Oleandra
mobile,Thomas_De_Quincey
shell,Wulfila
saprophytic_organism,Himalayan_rhubarb
perseveration,product_line
stout,Girondin
love_tree,Captain_Bligh
buttercrunch,tiepin
nose_candy,pronunciamento
planktonic_algae,Salvia_lyrata
aide,corkwood_tree
equation,explosive_mixture
huddler,Robert_E_Lee_Day
Bourse,Kurosawa
experimental_psychology,elegist
Alan_Paton,Ardisia_crenata
Marie_Tussaud,redundancy_check
Euphausiacea,superabundance
prodigal,waterlessness
Satyridae,shaggy_dog_story
blastosphere,epitrochoidal_engine
leptodactylid_frog,disciple
South_Korean,Jussieu
affirmativeness,capped_macaque
enticement,seafront
Elateridae,calcarine_sulcus
Platystemon_californicus,dry_plate_process
house_painter,mountain_daisy
vena_laryngea,National_Socialist_German_Workers'_Party
consummation,Sod's_Law
Sapotaceae,activist
golf,Ida_Minerva_Tarbell
darner,cordierite
Omani_rial,chucker-out
torpedo-boat_destroyer,incomprehensibility
Cabbala,tape_cartridge
foxiness,supernaturalness
Bermudan_rig,Arkansan
phytotoxin,Ingrid_Bergman
acid_head,dessert_plate
talipes_equinus,lawmaker
honeydew,light_show
face_cream,protozoologist
Montia_perfoliata,Joseph's_coat
Kentucky_wonder_bean,bola
spurge_family,Scutigera_coleoptrata
division_Chrysophyta,Chamaecyparis
IP,keratotomy
post,chickeree
family_Ardeidae,polar_body
afterglow,systemic_lupus_erythematosus
classical_Latin,somatotrophin
golden_gram,Madeira_cake
teetotaller,fir_clubmoss
dark_horse,hard_drug
electric_thermometer,impatience
sound_hole,reprover
Tacoma_Narrows_Bridge,Chionanthus_virginicus
Eurasian_kingfisher,sublingual_gland
railroading,Hemerocallis_lilio-asphodelus
deferred_payment,Ecuadoran_monetary_unit
Seine_River,Doodia
filing,ectoblast
shantytown,centriole
Wilkinson,bulwark
autacoid,bluffer
Anatolian,quiescence
genus_Olea,Dean_Gooderham_Acheson
Sipuncula,margosa
test_period,West_Midland
singleton,compact_car
Xantusiidae,module
cognitive_science,cos_lettuce
neurotropism,Formica_fusca
printer's_devil,Dermochelys
shtup,phrenic_nerve
gunflint,beech_fern
ascending_node,Punic
Agave_cantala,sandman
baseness,phylum_Pogonophora
achlorhydria,envoy
St_Valentine's_Day,Robert_Lee_Frost
Virgo,gametoecium
sheesha,bog_rhubarb
diaphoresis,rhodanthe
artemisia,black_birch
hoofed_mammal,ferrocyanide
populism,Asia
prison_term,meadow_pipit
Kordofan,genus_Eucinostomus
sea_rover,perpetual_calendar
pyrosis,Phillips_screwdriver
pyramidal_tract,floriculture
pentangle,E-LASIK
Munjuk,walnut_blight
unusual_person,buttonhole
bus_fare,mingle-mangle
widow_woman,bird's-eye_bush
Monongahela_River,New_Englander
Troy,serum_globulin
riding_bitt,bass_fiddle
Senecio_triangularis,priming_coat
osteoblast,genus_Piper
quickstep,genus_Chilomastix
food_for_thought,Zyloprim
chapati,wingspread
military_post,Tayassuidae
clay_pipe,electromagnetic_spectrum
subsystem,Emile_Coue
abducent_nerve,automobilist
presentness,tugboat
family_Priacanthidae,tallith
demisemiquaver,textual_matter
sulphuric_acid,Grigori_Efimovich_Rasputin
foamflower,collective_noun
book_matches,thug
vividness,Benjamin_West
Tabriz,comfort_food
machinator,Hibiscus_rosa-sinensis
control_experiment,heartthrob
nostalgia,Carya_tomentosa
Greater_Antilles,Senna_obtusifolia
clean_slate,arterial_plaque
Rubus_ursinus_loganobaccus,Chinese_scholar_tree
aphasia,sonny_boy
complex_sentence,Gray
spokesperson,faithfulness
Corylus,penstock
Jarrell,episcleritis
hijacker,radiation_pyrometer
Scombresox,weapons_emplacement
dog_sled,Host
corrigendum,post_and_lintel
flowchart,Chrysobalanus_icaco
hug_drug,window_cleaner
Culver's_root,screeching
hipbone,stoneface
weighting,English_cavalry_saddle
sailing_vessel,ballistic_galvanometer
genus_Selenicereus,hexagram
Tati,roller_bit
stakes,Titus
wonton_soup,nut-leaved_screw_tree
multiprogramming,spacewalker
Charles_William_Post,bolognese_pasta_sauce
alpha_foetoprotein,spirit_rapping
common_sense,improbability
boycott,Kinshasa
genus_Psophia,wholesale
chief_justice,pensioner
pepper_shrub,Streep
Italian_Renaissance,atmospheric_phenomenon
tutelage,pouched_rat
dilater,Rhamnaceae
panamiga,wedding_day
Blastocladiales,potbelly_stove
sound_pressure_level,Oscar
toad,caliphate
sea_captain,Swiss_chard
Isurus,monopolizer
Daguerre,dwarf_nipplewort
Rock,imperforate_hymen
dishcloth_gourd,Lancastrian
chem_lab,white_sage
digestive_tube,rock_hyrax
showy_milkweed,seidel
Collocalia_inexpectata,crinoline
roundtable,Alabamian
buck's_fizz,venereal_wart
Decapterus_macarellus,cataract
Stroheim,two-timer
attestant,Sauk
badness,durables
imperative,bine
Cynara,wheel_bug
CBC,tingling
banquet_song,megabyte
California_tree_poppy,Bartolomeo_Alberto_Capillari
Bacon,objector
intestine,Ted
Mirabeau,early_wake-robin
supratrochlear_vein,Vitis_rotundifolia
Greenpeace,Mobulidae
signing,red-light_district
family_Macrorhamphosidae,ottoman
lorikeet,Hydrastis
nacho,myofibril
press,garbage_heap
aviatrix,American_dog_tick
afropavo,horseshoe_arch
Pan_troglodytes_schweinfurthii,Cheiranthus_cheiri
stye,inverse_cosecant
capelan,Dardic
AFRL,Rhagoletis
thole,magnanimousness
webbing_moth,genus_Pseudotaxus
telecom_system,cocktail_dress
Scotswoman,NW
golden_parachute,head_voice
W._H._Hudson,Masorah
step-up,psittacosaurus
Cantonese,pine_lizard
airfare,arctan
Demetrius_I,Jacobean
Scotswoman,Irish_National_Liberation_Army
phonetic_symbol,Black_September_Movement
Pepin,cucking_stool
Oxalis_tuberosa,family_Pandanaceae
gynobase,guillemot
whoreson,Winfred
family_Melampsoraceae,ketose
genus_Choeronycteris,cichlid
genus_Potamogale,culdoscopy
Oxford_English_Dictionary,adjective
diminutive,needle_bush
white_cake,Relafen
shinplaster,Jenner
fat_metabolism,metasequoia
mantilla,carbonic_acid_gas
Armstrong,Didelphis
rube,signatory
WAN,injector
unabridged_dictionary,toxic_site
order_Anaspida,covered_couch
Orchis_mascula,Bowie_knife
Gymnocladus_dioica,Aralia_nudicaulis
John_Wyclif,Epacridaceae
Digitalis_lutea,calendar_week
organon,Newton's_second_law
theory_of_indicators,remora
India-rubber_tree,Pineus_pinifoliae
ingot,dovetail_plane
Lake_Vanern,genus_Caryota
AM,Francois_Couperin
teleworking,Boy_Scout
downbeat,Pepys
genus_Plumbago,SACLANT
Brahmana,active_trust
Allium_porrum,chinaberry_tree
cranium,iliolumbar_vein
corrugated_cardboard,pen_nib
hard_tick,cornetfish
great-niece,yard_marker
conjunction,carpenter's_plane
battle_of_Jutland,forgivingness
tubal_ligation,reticence
loony,Buckeye
G_clef,Ravenna_grass
genus_Seseli,dementia
subject_field,Equetus_pulcher
pituitary,toxic_waste_dump
volatility,kapeika
extenuation,Thyrsopteris_elegans
chacma,Belo_Horizonte
Carothers,metamathematics
aniseikonia,external_storage
captive,alocasia
bowhead_whale,caller-out
Rupert_Murdoch,Newcastle_disease
suborder_Ceratosaura,Dutch_Leonard
ixodid,Brassica_rapa_ruvo
telephone_company,bone_of_contention
Eburophyton,Pyrola_minor
nonpartisan,butt_shaft
air_station,rajah
Hibiscus_rosa-sinensis,President_Nixon
napery,landing_deck
salicylate_poisoning,dust_sheet
order_Phasmatodea,Richea_pandanifolia
syllepsis,jumper_cable
Phlebodium_aureum,chemical_property
piquantness,cocaine_addiction
genus_Stenopelmatus,house_wren
partner,Malaga
quartan,foot_race
Customs_Service,genus_Cereus
gas_helmet,battlefield
ambulant_plague,cartonful
genus_Apocynum,Mammoth_Cave_National_Park
vena_gastrica,self-stimulation
Phasmida,Athapaskan_language
neritina,Sarcocephalus
landrover,IR
centilitre,rumble_seat
corporal,septicemic_plague
family_Onagraceae,Sagittaria
genus_Trichosurus,Tragulus
anuran,Ochs
iron-tree,diverticulum
Hylocereus,Coleus_amboinicus
genus_Sertularia,genus_Regnellidium
aristocracy,tocology
pidgin,Aegyptopithecus
high_fidelity,genus_Salpa
Ringo_Starr,conductivity
direct_primary,Dubya
brine,Cicuta
expression,Arisarum_vulgare
northern_casque-headed_frog,white_tie
place_mat,Islamic_Jihad
Pueraria,grate
commercial_law,treasure_hunt
vapors,queen_mother
polysemy,ancientness
pitchfork,Alfred_Hawthorne
paddymelon,electromotive_series
Born,Halakah
hymenopterous_insect,hurdle
indoor_garden,thumbnut
contribution,ipecac
eating,remover
wont,genus_Ameiurus
bongo_drum,genus_lemmus
saddle_hackle,Philophylla
Quiscalus_quiscula,Abecedarian
drag_coefficient,King_of_England
monochromat,Agassiz
genus_Squalus,geometrical_irregularity
sight_bill,cheap-jack
Acer_negundo,upright
Pseudomonas_pyocanea,Salix_triandra
potter's_wheel,World_Bank
male_genital_organ,state_of_war
Alaska_Native,Louis_Untermeyer
cockloft,record_sleeve
Hasdrubal,marker
Chattanooga,Wassily_Kandinsky
head_count,buffer_country
witch_doctor,marine_animal
gerontologist,Wilhelm_Reich
cupric_acetate,grace_cup
divine_messenger,buccaneering
swamp_blueberry,hoard
probenecid,Beowulf
sex,weight_gaining
ornithopod,Agelaius_phoeniceus
highroad,developer
coxcomb,genus_Polygonum
family_Bombycidae,cut_of_meat
favourable_reception,canine_distemper
Kroeber,Veronica_chamaedrys
public_presentation,wild_boar
sodium_fluoride,pulp_magazine
English_toy_spaniel,genus_Styrax
phenylic_acid,seiche
kibbutz,NCDC
roble,Luxemburg
radiocarpal_joint,hyalinization
proscenium_arch,Angle
economic_condition,William_Harrison_Dempsey
Monet,walky-talky
carpal_bone,meetinghouse
Delicious,achievement
Dragunov,furring
meteor_stream,capsicum_pepper_plant
jument,elimination_tournament
boxcar,Nicaragua
genus_Diervilla,buttonhole
microwave_radar,tympanic_membrane
spic,graduated_tax
dispossession,Rubens
pennilessness,Agastache
Aspidistra_elatio,gas_shell
innovator,counterbattery_fire
diplotene,proxy_war
gambling_casino,Assyrian_Neo-Aramaic
crepuscle,genus_Sporobolus
Rochester,Melursus
nutmeg_family,apricot_bar
semitropics,trigger
south-seeking_pole,elite_group
shuteye,Acalypha
economics_profession,family_Juglandaceae
prophecy,secondary_amenorrhea
capital_of_Delaware,mayhem
pteridologist,adjutant_stork
family_Hippocastanaceae,millpond
field_officer,transparent_substance
barrelhouse,canyon
Illicium,dovecote
inebriate,cleg
James_Byron_Dean,Aetobatus_narinari
Erysimum_cheiranthoides,assessee
free_electron,Mediterranean_cypress
disagreeable_person,tram
genus_Prenanthes,disyllable
pharyngeal_consonant,afropavo
Del.,Larix_laricina
arrest_warrant,mythical_place
differentia,catarrhine
pavior,swimming_pool
brierpatch,solar_flare
zero-tolerance_policy,Solomon_Guggenheim
stationmaster,Strait_of_Gibraltar
mefloquine_hydrochloride,Vistula
red-hot_poker,water_cabbage
Othello,sure_thing
European_lemming,Edgar_Guest
status,waltz
Czar_Alexander_I,Obadiah
genus_Archaeopteryx,rectilinear_regression
sprain,Micrurus
sinus_venosus_sclerae,anemic_hypoxia
swamp_rabbit,rauli_beech
Passerina_cyanea,motorway
gumma,mining_geology
Aster_linarifolius,thimbleful
northern_holly_fern,allmouth
Canticle_of_Canticles,Norma
spy_satellite,Styrax_obassia
cinnabar_moth,anterior_vertebral_vein
finisher,Asplenium_trichomanes
Elanoides,flat_cap
alpha-interferon,Odyssey
Platycerium,building_site
pullet,brass_band
humidity,alkyl
hireling,Lepus_europaeus
Ateles,genus_Polyodon
direct_discourse,maguey
chasm,Jirrbal
hepatitis_A_virus,Menninger
line_drive,Upper-Normandy
simple_closed_curve,Salonica
borrower's_card,ruination
sgraffito,Marcus_Ulpius_Traianus
Desmograthus,Charles_Evans_Hughes
longanimity,Henri_Toulouse-Lautrec
order_Stegocephalia,Sir_Karl_Raimund_Popper
Entelea,valise
Amenhotep_IV,stagger_head
hindfoot,leviathan
veronica,Georg_Friedrich_Bernhard_Riemann
genus_Epimedium,handline
architrave,diddley
foiling,Ambrose_Gwinett_Bierce
manganese,Colin_luther_Powell
custard_apple,baranduki
menhir,family_Treponemataceae
Roy_Chapman_Andrews,vice-regent
arbitrariness,battle_of_Caporetto
elapsed_time,Equanil
French_fritter,alloy_cast_iron
albacore,vena_scapularis_dorsalis
famulus,billy-ho
royal_flush,pyemia
Samuel_Huntington,estuary
blusterer,stomach_pump
cross-examiner,tiger_cub
Pediculus,tickweed
Barbados,Cymru
Mellaril,Avalokiteshvara
thyrotropic_hormone,retinitis
ganoid,successiveness
sound_judgment,circle_of_Willis
emergency_landing,abele
family_Pandionidae,Henry
topsy-turvyness,type_species
wirehaired_terrier,subalpine_larch
genus_Architeuthis,lath
Liquidambar_styraciflua,good-for-nothing
Captain_Cook,values
gainfulness,cephalaspid
striped_drum,Massachuset
estoppel,fruiting_body
silly,pars_anterior
Colubridae,chemical_formula
wassailer,E._O._Wilson
Hachiman,dilatoriness
pasteurisation,order_Tuberales
nitro_group,colour_supplement
Helvetica,Franz_Joseph_Haydn
sermonizer,seahorse
hockey_stick,Alberti
Helladic_civilization,mustard_plaster
supermarket,fluorescence
blue_cat,extremeness
extremity,CD_burner
Populus,virucide
Rickettsiales,Numbers
tactility,cation
bailiwick,Ephippidae
fireclay,pothook
syntax_language,indweller
Josef_Michel_Montgolfier,Jewish_rye_bread
droop,soothsaying
Lear,angioma
teleost_fish,demi-glaze
night_lizard,traveller's_tree
Menotti,tootle
James_Augustine_Aloysius_Joyce,steamship_line
genus_Cardamine,imperfect
jaggery,arcuate_vein_of_the_kidney
capillary_vessel,essentiality
Azerbaijani_Republic,doctorspeak
family_Cucurbitaceae,capital_of_Sudan
Vt.,genus_Protoavis
bane,audit
Kansu,pastern
futon,Actias
think,wayfaring
rerebrace,Polystichum_scopulinum
simple_sentence,chimney_corner
celestial_guidance,genus_Chelone
harpoon_gun,Cecropia
milk_float,Laws
unsanctification,West_Indies
Central_African_Republic_franc,Artois
bird_pepper,experimenter
commination,order_Salicales
carat,candlelight
hereditament,line_worker
Cornish_fowl,midvein
Samoa,garment-worker
field_of_vision,prairie_golden_aster
